Annotation,PDE4D,PDE4DIP,PDE4A,PDE4B,PDE4C
SNORD116-24,0.3652369148746002,0.7245323519290569,0.2311912772980618,0.41867477793876307,-0.24649288064880226
TMEM31,-0.40969548907611886,-0.011913032208730641,-0.4220883910000592,-0.5458418555208875,-0.2021354371550577
EDNRB,0.4656642690087806,0.15508460049694192,0.29284787148234726,0.366087979793848,0.9261412929762465
LINC01587,-0.12018244520358293,-0.03985506311503672,-0.5753163476665957,-0.1563551621783146,-0.007771513711879685
LDLR,-0.2791532842672191,0.09250829655412225,-0.458688137614481,-0.49091628064491877,-0.06001244754128826
FAM66C,0.6793132546131551,0.5419092797193378,0.6370468803894087,0.7440305212970375,0.1378870906818174
FANCB,-0.405164829109737,0.1544649508710658,-0.35979210297271863,-0.4674993468049727,-0.21833438483245404
LOC102724058,0.5312921635809335,0.6199629743680654,0.6271177841183353,0.4862147581403789,0.08571643088532545
MIR5047,0.6029250497155071,0.2869533416971068,0.5793104216617246,0.5111105407064274,0.7375115340857473
ZNF283,0.3960538101211995,0.9020497008395902,0.31230212660649254,0.35463211858191596,0.347602258551835
GOLGA2P5,0.34578168291787154,0.2134980327843987,0.22530321951168622,0.11924366215093629,0.014941314500023718
ERLIN1,0.3657988862271403,0.5103711303088052,0.19591922115922977,0.11312729228083243,0.4198371418574968
HLA-C,0.5887256025212769,0.1652735115061077,0.3414070011316376,0.5949051941530726,0.6451329692408342
GFM2,0.5772479556954062,0.6784779048070585,0.3443159681289354,0.48444292613032813,0.4983587796909235
KISS1R,-0.20236929502442907,-0.0730725670380647,-0.367625275432935,-0.33600789502787043,-0.03190562680141891
ZNF507,0.6346615651421169,0.7781705483013842,0.41973486538552945,0.41411779498944074,0.6639475926557179
ZNF346,0.31802412571691135,0.060422156784506166,0.3609778054145024,0.5245309001922887,-0.21910353992902654
SUCLG2-AS1,0.5284658150873708,0.1358092798685418,0.14253546336876063,0.4603189728336753,0.07996432324209277
WDR45B,0.2548553351457843,0.4928979820203324,0.3078292394532913,0.2338579593234931,0.48606471591628075
NID2,0.09539009888355252,0.5347033794181777,-0.15051747217145103,0.2287894286962042,-0.09339765251400746
EHD2,0.36539368187222016,0.5777228808262134,0.1336146941035478,0.4681497200764938,0.30534220973067344
CCDC137,-0.19432511942498643,0.13383530900437896,-0.3778998353246686,-0.14546572413721762,-0.6400236063267177
RGS5,0.08942740850114868,0.29613964509956586,0.1703729196550951,0.11112109496174027,0.5368790539942614
DDR2,0.17794624159449537,0.5527126310166733,-0.0002626563473744042,0.29361479256856177,0.013869821284063928
MFSD4B,0.37616595593808116,0.44377118020021994,0.06425637521169045,0.1381839854612812,0.6121534991133033
ZMIZ2,0.29904654062842495,0.12485847237110216,0.06693890791398706,0.4142079893253205,-0.5913623699035289
MIR125B2,-0.02768661409402407,-0.08468169530621664,-0.4308956831137486,0.2031073494549738,-0.19835357636731496
RNF145,0.2806199593189041,0.2653604054611547,0.376423926981299,0.24466676663624873,0.10367804409184796
GLT8D2,0.20731432672113975,0.5494927362345091,0.005449699687292998,0.36581317053129897,0.035115012175191626
CLSPN,0.3836480204831695,0.578932955109912,0.08009598345636106,0.4097067274350252,-0.19792794167611782
LIN7A,0.25264654742149206,0.22131559921586585,0.08931051182149274,0.13644373629229462,0.6027049995359361
GLYATL2,-0.10262822838245765,0.09984291593408122,0.1577494737446218,-0.35082485529475055,0.20255001169216302
DNAJC10,0.7659574087704157,0.7388370249257754,0.35761892989201566,0.5670392948576828,0.314044869573128
GLIS3-AS1,0.5883485165959882,0.3653975073040595,0.20711972831767475,0.4433837144986156,0.5905617850023899
FBXL14,-0.015406085212168826,0.04053849542646843,0.21260124894200524,-0.1304952545795067,-0.5352397437487524
RTN4RL2,-0.2740769433058929,-0.12414483064227776,0.019670825367672756,-0.3709382544212598,0.2170469033679817
WDR63,0.6949311057584695,0.2513144929552893,0.32722567423760757,0.6553538127599524,0.07835261272304875
TFPI,0.7527020485621431,0.34859063390121964,0.4561439290805545,0.6594605930021624,0.0458254284726026
MSH2,0.5375655828525236,0.753846382802165,0.15698480558417258,0.24492525153752898,0.43151490261898845
LMF1-AS1,0.02808651301754396,-0.14498166351945596,-0.22214084786348512,0.09052791415456629,-0.3301248416439706
PRDX2,-0.6031424478889205,-0.8602658573814442,-0.5223525515014489,-0.5370910791149381,-0.42443870487440766
RNU6ATAC,0.04298135947532748,0.028762607270583246,-0.1305407176671259,-0.3687654188360016,0.46210110209543953
IPCEF1,0.11278856899110432,0.21573802249608048,0.08637363649352056,-0.15762122523279146,-0.09966224429100473
RHBDD1,0.15942547898767084,0.2564846479928976,0.1704362471244835,0.007551912069800929,0.6512724537954296
FAP,0.14218577241015307,0.49272030068560596,-0.05874687071829591,0.22792779957046774,-0.00786114267594453
FSD2,0.49806523760382737,0.3116233306214569,0.4740194601769382,0.2988851714598872,0.8438769940323917
HDAC3,-0.7201444019301929,-0.48880997717866753,-0.17795994685529762,-0.8308893692491824,0.06353919787564798
PPHLN1,0.4949297155721795,0.706348933368802,0.4213977662321587,0.4499066985104395,0.0805960990942398
PRR11,0.2683241982779006,0.41942227526616704,0.1295939394791897,-0.16355779999190806,0.258065553668608
LOC101928718,-0.2945265670348737,0.11903004750321448,0.05847417369675063,-0.11219242133406926,-0.4458621275397045
KIF1A,-0.07172616445354552,0.003204164755796359,0.20142657885828172,-0.11235854712763099,-0.46923797918875826
MIR155,0.38072906488022035,0.28002219380836035,0.2358583632517072,0.24450315212663973,0.04672252108386552
TRPS1,0.4331410442708652,0.5946227281888515,0.4140501753081203,0.15301837282452307,0.6626923148097154
SMIM10L2A,-0.028810389981879386,-0.03543106560426021,-0.22799670256105375,-0.09823034623925969,-0.12540102784110294
PKP2,0.059716175391783935,0.22646137769671398,0.10194032795583584,-0.11460077420412376,-0.2729450952053326
MEX3A,-0.10141250443450346,0.07710920620979016,-0.19987868366595055,-0.15691825633157513,-0.5105773899919125
NIPAL2,0.5806802309891547,0.24532366096158198,0.3029778980242223,0.567364789404889,0.6782488733921421
MADCAM1,-0.3446603945124057,-0.12004434379632366,-0.1316602702014764,-0.3796055736341568,-0.24401975670587173
IGSF22,0.648925374247552,0.48485401087251173,0.5279640290901022,0.5315419352463617,0.608150921896476
ADARB1,-0.3525665369914556,0.10182511673680772,-0.46626101210076887,-0.4718129559880056,-0.29287978766267897
RAB5C,-0.20651668112529575,-0.29797182621806645,-0.01722130439673509,0.14017265517897703,-0.43485917320902423
MKRN7P,0.6265753380092234,0.3426485672695446,0.3814750112950339,0.567874693554224,0.8494690905540871
RABL2B,0.18502613323594216,0.11228940612928957,-0.33924066247682616,0.3805931661424398,-0.5230031067190507
AK6,0.19390378499454403,-0.2292375779194961,0.08271555435360468,0.3612647112010152,-0.04159153028950443
GTF2IP20,0.4543006672800491,0.3310766209927419,0.2512137762362302,0.2861500544692949,-0.09046242187257897
C1QTNF3,-0.17821747606136645,-0.12481363981715135,-0.021835938395063675,-0.524666855852922,0.03875086382752668
RPA3,-0.2123274588602308,-0.1202753405601104,-0.12895096120321686,-0.24790102569062436,0.23688333855360932
CXorf57,-0.32379307101581817,-0.09139527895490174,-0.2500552198454355,-0.6019608365167478,0.11638827595751929
CTSV,-0.01766817734525525,0.08691645714092272,-0.4199557711437052,-0.17874598073707806,0.0008848258643337885
KIF18A,0.18773488879115105,0.49306895244767995,0.16859460138760626,-0.028626837928045677,0.3445433860286512
TPH1,0.2555949915795409,0.514349913915053,0.3501660483804608,0.4846108413856819,-0.1263694914144094
CPO,0.20850634243644917,0.4281705284193558,0.26335959873893244,0.2961700002185448,-0.09553497313222954
FAM214A,0.55692653870613,0.788697650285349,0.4862418430514429,0.4952454711615639,-0.017738343396837282
AATK,0.29198756185085806,0.07819282890076135,0.2060252628521576,0.29662493620420016,-0.24767545828270615
TRA2A,0.268615822430351,0.5836732169699355,-0.05027928435526795,0.47040697114780566,-0.3044564512406507
PRRG1,0.062458544981550505,0.3632145377600425,-0.13346608382437883,-0.23176440150771746,0.22910674483863458
